"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"251","1_6",0.831554612483019,NA,0.53,-0.301554612483019,NA,44,-25182.0761040789,6859266.15900789
"252","1_6",0.867271202792056,NA,0.86,-0.00727120279205573,NA,45,-25171.9920827579,6859285.41894994
"253","1_6",0.701202518949332,NA,1.59,0.888797481050668,NA,46,-25169.0170775146,6859305.88182585
"254","1_6",0.912768510196068,NA,0.73,-0.182768510196068,NA,47,-25165.46144164,6859326.25568723
"255","1_6",1.06660432116324,NA,0.96,-0.10660432116324,NA,48,-25160.8253062585,6859345.22007078
"256","1_6",1.21927552697172,NA,2.22,1.00072447302828,NA,49,-25158.3970367096,6859365.9929144
"257","1_6",1.17545086777826,NA,0.76,-0.415450867778256,NA,50,-25148.8292407929,6859383.29664277
"258","1_6",0.810593908159662,NA,0.59,-0.220593908159662,NA,51,-25143.1453966177,6859403.457313
"259","1_6",0.642067788077403,NA,1.13,0.487932211922597,NA,52,-25124.8337287663,6859401.3285594
"260","1_6",1.03849485153201,NA,0.85,-0.188494851532013,NA,53,-25128.7835191356,6859382.25895523
"261","1_6",1.00488299065993,NA,2.31,1.30511700934007,NA,54,-25133.4683342887,6859362.6235773
"262","1_6",1.30259830602082,NA,0.53,-0.772598306020824,NA,55,-25136.5208192599,6859343.41641628
"263","1_6",0.578713974346586,NA,0.94,0.361286025653414,NA,56,-25139.1360679435,6859324.59452851
"264","1_6",0.69233788798061,NA,0.58,-0.112337887980611,NA,57,-25138.7973671309,6859305.65903278
"265","1_6",0.696136028757501,NA,0.54,-0.156136028757501,NA,58,-25138.5054821696,6859285.71304075
"266","1_6",0.639308356974701,NA,0.32,-0.319308356974701,NA,59,-25120.0642702932,6859294.64594128
"267","1_6",0.572035378100367,NA,0.31,-0.262035378100367,NA,60,-25120.901015184,6859314.56236083
"268","1_6",0.853772928469353,NA,0.51,-0.343772928469353,NA,61,-25118.7101229852,6859333.7885188
"269","1_6",0.746804503830738,NA,1.06,0.313195496169262,NA,62,-25109.7231270965,6859351.18135908
"270","1_6",0.676224980411764,NA,0.75,0.0737750195882364,NA,63,-25105.473702523,6859370.09195859
"271","1_6",0.875128537157057,NA,0.31,-0.565128537157057,NA,64,-25101.1794112041,6859390.35258165
"272","1_6",0.660752068404601,NA,1.07,0.409247931595399,NA,65,-25083.755348267,6859380.67101964
